Date,Close,High,Low,Open,Volume,Month,Year,Week,Daily_Return_Rate,RSI,PPO,MACD,Signal,VWAP,OBV,CMF,PVT,ROC
2011-05-12,10.441006660461426,10.457577121543013,10.311462950005655,10.427450546290835,322000000,5,2011,19,0.0013000410896614348,42.53705815931612,1.5102210795350495,0.15595265535207936,0.14490911967394401,8.2767567518856,13895506800,-0.09013556458741215,92784715.72153385,-1.1776428476522782
2011-05-13,10.258135795593262,10.431363769040376,10.253617091792377,10.413589825337906,326116000,5,2011,19,-0.014927996238761062,30.09867244916576,1.2476636899806308,0.12887528615120125,0.15655278412365212,8.280165224426911,13569390800,-0.09727688870209636,87072899.14036229,-3.5438144098780913
2011-05-16,10.041223526000977,10.279827497701277,10.020134364515991,10.21897181206883,449775200,5,2011,20,-0.01739395012890911,26.248716523101905,0.9749011721130133,0.10064675257756228,0.16022807580453424,8.284385648275686,13119615600,-0.0985750940242469,77562227.6711627,-4.885550398484799
2011-05-17,10.12678337097168,10.12678337097168,9.963797904796625,10.002059265886215,452334400,5,2011,20,0.012469842636391679,31.857040138591728,0.622492035273763,0.06427256266275982,0.15358219391260441,8.288515214638558,13571950000,-0.11473070331850986,81416505.09449671,-4.001155019929412
2011-05-18,10.239158630371094,10.274708136011965,10.1225684798049,10.136727946851405,334776400,5,2011,20,0.010104906046285392,41.165993429946724,0.36447465768162157,0.03767046561607934,0.1392821199194323,8.291797642177649,13906726400,-0.14317133000938145,85131464.07136601,-1.9841289041549224
2011-05-19,10.259040832519531,10.315678690383857,10.203004717705069,10.305737058552038,261170000,5,2011,20,-0.004531090378805771,36.74779453278364,0.08694148340137427,0.008994071911542889,0.11908737954251139,8.294413214136902,14167896400,-0.10012785891707472,85638598.97595721,-2.7418285076968365
2011-05-20,10.099066734313965,10.271692955337535,10.0930412599288,10.229816310595234,337968400,5,2011,20,-0.012781224247971054,35.32388213303099,-0.2511445085841025,-0.025978180078359614,0.0934419149686811,8.297607893540746,13829928000,-0.11367543723992236,80368497.13167983,-3.1939498086941196
2011-05-23,10.074362754821776,10.121963200194765,9.92433245804502,9.940902111135223,383600000,5,2011,21,0.01342540568195089,31.137253001538696,-0.5729433641548937,-0.05927793184916119,0.06507474404794225,8.300998114585303,13446328000,-0.10570111529872583,79430148.39287952,-3.9632603890967553
2011-05-24,10.007781982421877,10.119552511867168,9.98217412063342,10.107501564091626,321927200,5,2011,21,-0.009865898218014382,26.777056938065854,-0.9765228240459487,-0.10108663485600466,0.034452116387522165,8.303827055051404,13124400800,-0.10482707603301958,77302553.61054175,-4.97186397742417
2011-05-25,10.14606475830078,10.199690680789349,10.027666991390271,10.04514006424433,294224000,5,2011,21,0.010047116656510362,37.27992129386925,-1.2934105482757423,-0.13396376218551254,0.002239181105567509,8.306535360712155,13418624800,-0.09855762264016621,81368001.03152446,-2.8752838607342324
2011-05-26,10.092436790466309,10.149376305858638,10.075264593973497,10.121659933434444,222560800,5,2011,21,-0.002887188777366799,35.73862778425212,-1.6121906762245546,-0.1669276799911099,-0.030627815132467064,8.30855755644135,13196064000,-0.09609461178682734,80191635.24755394,-3.3635819229490114
2011-05-27,10.165046691894531,10.17167471569014,10.071654224546588,10.086416238947535,203599200,5,2011,21,0.007795677977612449,37.96933302238803,-1.7953464692807453,-0.185787781690939,-0.062453874495633874,8.310434748106752,13399663200,-0.07311540616145215,81656426.96731283,-2.9315537309450286
2011-05-31,10.478964805603027,10.478964805603027,10.273199257099405,10.276212799095568,417754400,5,2011,22,0.01973022654078401,48.40918995165304,-1.7331998915986806,-0.17929903054848673,-0.08951738485243904,8.31485119473019,13817417600,0.038129841939961634,94557565.27157603,-0.46361275349507125
2011-06-01,10.409070014953612,10.608508395383556,10.3831620833738,10.5102963782726,554682800,6,2011,22,-0.009631161641478344,48.31430836945361,-1.5288937198709476,-0.15803074836730957,-0.1112619641839267,8.320844042154857,13262734800,-0.03662465297690415,90857825.94597948,-0.4953761218280094
2011-06-02,10.426843643188477,10.483482293306404,10.37261598709659,10.43889459097296,338783200,6,2011,22,-0.001154427576546772,49.538653854636976,-1.1701371179109072,-0.12089008551377489,-0.12569353723118423,8.3244212280176,13601518000,-0.04308558220906121,91436302.85509504,-0.13564800534590699
2011-06-03,10.346709251403809,10.403648788401856,10.303628308111032,10.338876937691932,313250000,6,2011,22,0.0007575594292376824,53.09215196144366,-0.918176142893768,-0.0947879155476894,-0.1333390633944431,8.32759839024464,13288268000,-0.01361755609107381,89028853.47870149,0.8634459279491765
2011-06-06,10.184025764465332,10.455467412094777,10.177096869622948,10.414796657694271,461941200,6,2011,23,-0.022157983570274497,55.181499011376964,-0.865765047391539,-0.08928987918755915,-0.13667372420982066,8.332083036974131,12826326800,-0.046297896940846614,81765654.77942924,1.4221597407385667
2011-06-07,10.00326156616211,10.18944467003726,9.99904373482378,10.187938703936677,529785200,6,2011,23,-0.018127036600957092,45.807719994199765,-0.8709639410158454,-0.08964349673344607,-0.13540226441842526,8.336651503772137,12296541600,-0.10937193088042996,72362084.99614519,-1.219753600769661
2011-06-08,10.00929069519043,10.086415173178429,9.961390175811694,9.995432905915148,333723600,6,2011,23,0.0013864121149850877,41.59138353511164,-0.786834071250099,-0.08085646996131324,-0.129501454171292,8.339442469909647,12630265200,-0.15241850519638314,72563225.65720735,-2.2449885139862613
2011-06-09,9.986696243286133,10.052372316921735,9.96440198406366,10.039718818444117,275088800,6,2011,23,-0.00528128089210778,40.05730798690897,-0.6707717170245703,-0.06879981970175741,-0.11859835858358617,8.341711703628715,12355176400,-0.16501541679936405,71942254.51646535,-2.6546788698813764
2011-06-10,9.818285942077637,9.991815579874473,9.806535864937532,9.958374599685714,433955200,6,2011,23,-0.01406742196788802,39.81207602221811,-0.5588226655331391,-0.05716414329333297,-0.10430684320607438,8.345001687871,11921221200,-0.249105913612794,64624266.24861099,-2.7802647474573967
2011-06-13,9.839373588562012,9.890890183500264,9.793279920112386,9.857449205721627,329473200,6,2011,24,-0.0018337012732587779,41.45115650374634,-0.5817480915406262,-0.059373445999927554,-0.09098177825623448,8.347439560225013,12250694400,-0.2088229340651767,65331906.50360702,-2.3325462064317044
2011-06-14,10.015316009521484,10.039718782835664,9.921019329993722,9.941806818041409,334569200,6,2011,24,0.007393946877611686,50.25388410544091,-0.48405514748260786,-0.04932310642340276,-0.07890315137357816,8.350156185438394,12585263600,-0.13178598170919414,71314494.16497022,0.07528168691964619
2011-06-15,9.84389591217041,9.950845288426086,9.787558117545895,9.934275632761008,399196000,6,2011,24,-0.00909776655406514,40.03985979912932,-0.510813700083503,-0.05192627662267313,-0.07124050594123352,8.353127664302976,12186067600,-0.21411689005067294,64481937.19751124,-2.9781876355870542
2011-06-16,9.795992851257324,9.902038798316998,9.59022810815052,9.848413679519153,510591200,6,2011,24,-0.005322768718666175,40.191546991869124,-0.7960260471303158,-0.08069521952898029,-0.06967465082804362,8.35666535477626,11675476400,-0.21100183638452671,61997262.270682104,-2.9372880441422864
2011-06-17,9.648370742797852,9.91921058283795,9.621256912986638,9.911377466268052,615020000,6,2011,24,-0.02653583968175015,33.71317702684182,-1.1165245101220236,-0.11283605526655194,-0.07229089261459837,8.360803207165628,11060456400,-0.26710346068839197,52729130.84967031,-5.082868429012431
2011-06-20,9.499545097351074,9.571246628979726,9.354334391894602,9.561003323184446,640645600,6,2011,25,-0.006428010090148355,15.539729792848433,-1.5283412469698692,-0.15390087396670538,-0.07943060119607163,8.364290325605472,10419810800,-0.18963367288593344,42847203.89388774,-9.346531135673482
2011-06-21,9.800209045410156,9.815271925989114,9.495929847660609,9.540517550933878,493382400,6,2011,25,0.027219853963882566,31.570381532190865,-1.8088603168761856,-0.18182999048477555,-0.09064988125423411,8.36751106627941,10913193200,-0.1561297063278959,58462930.6225529,-5.849331099404356
2011-06-22,9.719170570373535,9.908668149879182,9.71224087149148,9.795993369856,390583200,6,2011,25,-0.00784226740279975,29.369567840447758,-2.0735602269557987,-0.2081812711862412,-0.10613670919695453,8.370194593374178,10522610000,-0.1747135087139011,55233176.3636121,-6.787030639682044
2011-06-23,9.978862762451172,9.992720551048816,9.583902111439786,9.60860495101182,559759200,6,2011,25,0.03853398212613188,40.29263411474128,-2.03829999320478,-0.20452525065495486,-0.12251016557046807,8.374217690399405,11082369200,-0.1199874173204971,70189709.19026434,-3.5552027220899096
2011-06-24,9.831841468811035,10.036702739627469,9.793881790483798,9.98307763477401,439807200,6,2011,25,-0.015149252715031855,40.628486161935555,-2.0327174077878154,-0.20364664151118284,-0.1385405206272742,8.377439263731493,10642562000,-0.13827293152446443,63709910.33587433,-3.45820310945361
2011-06-27,10.00326156616211,10.059297663759404,9.858955099768686,9.869198404447484,339813600,6,2011,26,0.013583997019880606,50.0,-1.9226307870984203,-0.19242853384751513,-0.1544411236743978,8.380060832157643,10982375600,-0.1391980950040376,69634627.5496338,0.0
2011-06-28,10.100271224975586,10.143653836939702,10.045441015921895,10.051767361917149,294299600,6,2011,26,0.0048254064496361685,52.3201607866561,-1.6883001527356174,-0.16897608683659548,-0.1674466581426114,8.382498466743131,11276675200,-0.18584684134299445,72488687.05773644,0.9089608100689228
2011-06-29,10.06352424621582,10.133719060500168,9.998449882019948,10.123777423077804,352545200,6,2011,26,-0.005951649699906781,51.945205849912014,-1.4975667316588637,-0.1498799996498299,-0.17513385593381692,8.3853564092878,10924130000,-0.14098417194615584,71206051.1078995,0.7693034919464734
2011-06-30,10.11262321472168,10.12648261078351,10.02736556469656,10.08340086958899,322954800,6,2011,26,0.0028980644041260387,57.93151300995824,-1.4562477607564828,-0.14580342097160148,-0.1787968965677113,8.388002617293923,11247084800,-0.11257758011966051,72781716.56724182,2.9978478359712404
2011-07-01,10.341289520263672,10.348519288095686,10.068341047166497,10.121062763494406,435313200,7,2011,26,0.021759252157154938,62.16428980528242,-1.1164181408302456,-0.1118625983213768,-0.17412597705156369,8.391898932410587,11682398000,-0.05723521438957858,82625004.41492437,5.101096397895929
2011-07-05,10.52716827392578,10.539219224573973,10.318390782996586,10.333453666837489,355054000,7,2011,27,0.018746356574856182,62.34564379911539,-0.674057469420469,-0.06765175477052487,-0.16143950641664695,8.395420215988052,12037452000,0.03210043973631313,89006896.62221877,5.11069509856385
2011-07-06,10.59736156463623,10.667858811575808,10.445221954143276,10.512705659373935,444626000,7,2011,27,0.00805272286747697,69.10622269126634,-0.05169220391503578,-0.0051966813894424035,-0.13888566310589154,8.400043768816936,12482078000,0.11307171394721345,91971583.92115052,7.654140791292602
2011-07-07,10.761253356933594,10.785354455094817,10.664847355349943,10.685033101037764,399663600,7,2011,27,0.007133366380346289,73.11702756962066,0.885220459289659,0.08908842160151487,-0.10626192174406156,8.404501566794588,12881741600,0.15016684740896066,98152517.101594,9.853626072750528
